"STEEVE","FRANCOIS","ALONSO","JIMMY","RICK","YURIKO","BARBARA","SHELDA","WIN"
1,0,0,0,0,0,1,0,0
0,1,0,0,0,0,1,1,0
0,0,0,1,0,0,0,1,0
0,0,1,1,0,1,0,0,1
1,0,0,0,0,0,0,1,0
0,0,0,1,0,1,0,0,1
1,0,0,0,0,0,0,1,0
0,0,1,1,1,0,0,0,1
0,0,1,1,0,1,0,0,0
0,0,0,0,0,1,1,0,1
0,0,0,0,0,1,1,0,1
0,0,0,0,1,0,1,0,1
0,0,0,0,1,1,0,0,1
